,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
56,Atuona,0,PF,1584324717,65,-9.8,-139.03,301.04,3.91
57,Zheleznodorozhnyy,0,RU,1584324717,79,55.75,38.0,269.26,4.0
58,Kousséri,40,CM,1584324717,22,12.08,15.03,294.15,2.1
59,Saint Paul Harbor,40,US,1584324717,64,57.79,-152.41,277.15,2.6
60,Codrington,0,AU,1584324717,76,-38.27,141.97,288.99,6.19
61,Muravlenko,100,RU,1584324718,85,63.79,74.52,252.3,7.14
62,Saint-François,33,FR,1584324718,75,46.42,3.91,280.37,0.5
63,Yar-Sale,0,RU,1584324428,95,66.83,70.83,249.57,1.98
64,Cockburn Town,0,TC,1584324718,69,21.46,-71.14,296.63,7.04
65,Pontianak,12,ID,1584324718,78,-0.03,109.33,303.07,0.64
66,Sinnamary,75,GF,1584324718,77,5.38,-52.95,299.59,7.25
67,Heihe,0,CN,1584324718,29,50.24,127.49,269.15,2.0
68,Mitsamiouli,46,KM,1584324718,72,-11.38,43.28,301.67,1.17
69,Cape Town,20,ZA,1584324718,68,-33.93,18.42,291.15,7.2
70,Sitka,1,US,1584324718,65,57.05,-135.33,280.15,3.68
71,Khatanga,19,RU,1584324718,93,71.97,102.5,241.33,5.14
72,Tasiilaq,100,GL,1584324718,46,65.61,-37.64,260.15,7.7
73,Dhidhdhoo,99,MV,1584324553,73,6.88,73.1,301.67,2.42
74,Cidreira,100,BR,1584324719,91,-30.18,-50.21,296.67,6.37
75,Aklavik,20,CA,1584324719,65,68.22,-135.01,258.15,4.21
76,Mogadishu,100,SO,1584324719,81,2.04,45.34,301.23,7.96
77,Tuktoyaktuk,5,CA,1584324719,76,69.45,-133.04,252.15,3.1
78,Olinda,75,BR,1584324719,94,-8.01,-34.86,297.15,5.1
79,Portland,75,US,1584324664,41,45.52,-122.68,280.15,8.7
80,Tromsø,90,NO,1584324632,79,69.65,18.96,270.15,10.3
81,Wawa,57,NG,1584324719,28,9.9,4.42,298.69,1.12
82,Lenoir,90,US,1584324719,71,35.23,-77.65,284.26,2.1
83,Longyearbyen,90,SJ,1584324542,84,78.22,15.64,256.15,5.1
84,Nikolskoye,40,RU,1584324719,59,59.7,30.79,274.15,4.0
85,Bethel,1,US,1584324719,32,41.37,-73.41,280.37,3.6
86,Havre-St-Pierre,90,CA,1584324720,52,50.23,-63.6,265.15,8.2
87,Barrow,90,US,1584324720,85,71.29,-156.79,261.15,8.2
88,Lethem,67,GY,1584324720,60,3.38,-59.8,301.61,4.01
89,Kyabram,0,AU,1584324720,23,-36.32,145.05,298.71,3.54
90,Salalah,20,OM,1584324720,69,17.02,54.09,297.15,2.1
91,Leningradskiy,0,RU,1584324720,73,69.38,178.42,262.93,1.89
92,San Rafael,0,AR,1584324720,60,-34.62,-68.33,287.78,1.84
93,Geraldton,75,AU,1584324720,69,-28.77,114.6,297.59,3.1
94,Ponta do Sol,40,PT,1584324524,67,32.67,-17.1,290.15,4.6
95,Ribeira Grande,4,PT,1584324720,79,38.52,-28.7,286.67,4.17
96,Westerland,95,DE,1584324720,86,54.91,8.3,282.04,4.02
97,Ucluelet,5,CA,1584324635,52,48.93,-125.55,280.15,4.6
98,Klaksvík,100,FO,1584324721,71,62.23,-6.59,273.15,7.7
99,East London,97,ZA,1584324721,71,-33.02,27.91,293.85,5.3
100,Lompoc,90,US,1584324457,87,34.64,-120.46,286.15,2.6
101,Province of Mantua,0,IT,1584324721,80,45.17,10.78,280.37,1.5
102,Katsuura,75,JP,1584324721,57,35.13,140.3,286.48,4.6
103,Chui,99,UY,1584324721,74,-33.7,-53.46,289.73,2.06
104,Lavrentiya,0,RU,1584324721,83,65.58,-171.0,269.72,3.24
105,Bredasdorp,76,ZA,1584324721,68,-34.53,20.04,292.15,6.2
106,Saskylakh,100,RU,1584324455,95,71.92,114.08,248.53,9.26
107,Standerton,89,ZA,1584324721,93,-26.93,29.24,288.71,0.45
108,Tazovsky,5,RU,1584324722,96,67.47,78.7,248.84,3.17
109,Jitra,20,MY,1584324722,83,6.27,100.42,301.15,2.6
110,Saint George,1,US,1584324658,62,37.1,-113.58,289.82,3.6
111,Sørland,62,NO,1584324722,54,67.67,12.69,272.9,9.08
112,Mugumu,100,TZ,1584324722,89,-1.85,34.7,289.63,1.73
113,Cairns,40,AU,1584324488,55,-16.92,145.77,304.15,3.1
114,Deurne,89,BE,1584324722,81,51.21,4.47,282.59,1.5
115,Tvøroyri,98,FO,1584324722,70,61.56,-6.81,273.15,7.7
116,Bambous Virieux,40,MU,1584324722,94,-20.34,57.76,296.48,1.5
117,Saldanha,99,ZA,1584324544,63,-33.01,17.94,290.15,4.1
118,Sur,12,OM,1584324722,70,22.57,59.53,293.05,4.12
119,Okhotsk,21,RU,1584324722,78,59.38,143.3,261.39,5.84
120,Severo-Kuril'sk,97,RU,1584324723,95,50.68,156.12,269.17,20.89
121,Ilulissat,93,GL,1584324723,43,69.22,-51.1,251.15,4.6
122,Thurso,31,GB,1584324723,81,58.59,-3.53,276.48,2.6
123,Cabo San Lucas,75,MX,1584324641,72,22.89,-109.91,294.82,1.5
124,Kirkwall,92,GB,1584324723,80,58.98,-2.96,276.48,1.5
125,Pleşoiu,0,RO,1584324723,79,44.47,24.27,270.37,2.1
126,Hobart,20,AU,1584324701,51,-42.88,147.33,293.71,1.5
127,Mozhaysk,0,RU,1584324723,62,55.5,36.03,268.55,2.3
128,Touros,75,BR,1584324640,100,-5.2,-35.46,297.15,1.5
129,Bismarck,90,US,1584324723,100,46.81,-100.78,272.59,1.5
130,Turukhansk,77,RU,1584324723,86,65.82,87.98,251.13,2.67
131,Ostrovnoy,100,RU,1584324723,95,68.05,39.51,269.05,3.38
132,Cayenne,75,GF,1584324724,88,4.93,-52.33,298.15,2.96
133,West Bay,20,KY,1584324724,74,19.37,-81.42,299.15,5.7
134,Mayo,1,US,1584324724,65,38.89,-76.51,280.37,1.02
135,Lorengau,100,PG,1584324724,72,-2.02,147.27,302.13,2.95
136,Bluff,67,NZ,1584324724,71,-46.6,168.33,285.37,7.15
137,Manacapuru,100,BR,1584324724,88,-3.3,-60.62,300.15,2.6
138,Dakar,0,SN,1584324566,88,14.69,-17.44,295.15,4.6
139,Florø,3,NO,1584324724,59,61.6,5.03,276.48,2.1
140,Sosnovo-Ozerskoye,61,RU,1584324724,68,52.52,111.54,272.35,8.68
141,Gölköy,75,TR,1584324724,93,40.69,37.62,279.15,4.6
142,Nuevo Progreso,6,MX,1584324724,93,23.17,-97.95,296.48,0.45
143,San Patricio,40,MX,1584324617,78,19.22,-104.7,300.15,2.6
144,Flinders,75,AU,1584324724,93,-34.58,150.86,294.82,6.7
145,Ambulu,0,ID,1584324725,74,-8.35,113.61,300.85,0.74
146,Yerbogachën,100,RU,1584324431,93,61.28,108.01,272.7,6.46
147,Kuruman,28,ZA,1584324725,43,-27.45,23.43,292.3,3.48
148,Faanui,8,PF,1584324725,71,-16.48,-151.75,301.66,4.55
149,Cherskiy,94,RU,1584324725,85,68.75,161.3,260.11,2.94
150,Abu Samrah,2,SY,1584324725,86,35.3,37.18,284.18,2.17
151,Gwadar,0,PK,1584324725,60,25.12,62.33,295.57,2.03
152,San Joaquin,63,VE,1584324725,84,10.26,-67.79,297.08,3.76
153,Ho Chi Minh City,20,VN,1584324445,62,10.75,106.67,302.15,3.1
154,Alice Springs,0,AU,1584324725,13,-23.7,133.88,300.15,5.1
155,Nantucket,1,US,1584324585,79,41.28,-70.1,275.37,4.77
156,Chu,100,KZ,1584324725,37,43.6,73.76,283.82,4.61
157,Port Elizabeth,90,ZA,1584324726,93,-33.92,25.57,290.15,3.6
158,Chokurdakh,0,RU,1584324726,87,70.63,147.92,249.9,2.55
159,San Jerónimo,100,PE,1584324726,90,-11.95,-75.28,279.51,1.65
160,Souillac,40,MU,1584324726,94,-20.52,57.52,296.48,1.5
161,Mehamn,100,NO,1584324726,79,71.04,27.85,266.51,3.71
162,Hasaki,40,JP,1584324726,57,35.73,140.83,285.37,3.1
163,Half Moon Bay,75,US,1584324774,61,37.46,-122.43,284.26,2.6
164,Honningsvåg,100,NO,1584324726,70,70.98,25.97,270.12,2.18
165,Norman Wells,20,CA,1584324727,72,65.28,-126.83,264.15,8.7
166,Jaguaribe,100,BR,1584324727,93,-5.89,-38.62,295.98,0.83
167,Castro,13,BR,1584324727,86,-24.79,-50.01,291.92,1.53
168,Baracoa,21,CU,1584324727,80,20.35,-74.5,297.36,8.18
169,Mehrān,0,IR,1584324727,93,33.12,46.16,279.15,2.1
170,Sambava,100,MG,1584324727,88,-14.27,50.17,295.45,0.82
171,Vao,10,NC,1584324727,72,-22.67,167.48,300.49,12.58
172,Dikson,100,RU,1584324538,100,73.51,80.55,247.57,3.7
173,Parabel',100,RU,1584324727,96,58.7,81.48,273.59,7.48
174,Grindavik,90,IS,1584324727,100,63.84,-22.43,274.15,13.9
175,Iqaluit,90,CA,1584324727,77,63.75,-68.51,254.26,2.1
176,Miyako,62,JP,1584324727,69,39.64,141.95,279.69,3.58
177,Pacific Grove,90,US,1584324775,93,36.62,-121.92,285.37,3.1
178,Iquique,75,CL,1584324728,64,-20.22,-70.14,296.15,5.1
179,Nemuro,75,JP,1584324728,54,43.32,145.57,272.15,2.1
180,Lubango,100,AO,1584324728,95,-14.92,13.49,289.4,1.35
181,Yantal',100,RU,1584324728,88,56.85,105.25,271.49,4.93
182,Njombe,100,TZ,1584324728,94,-9.33,34.77,287.91,0.93
183,Yellowknife,20,CA,1584324728,72,62.46,-114.35,263.15,9.3
184,Saravan,90,AM,1584324728,81,39.72,45.65,277.06,1.05
185,Taoudenni,0,ML,1584324728,12,22.68,-3.98,293.32,2.73
186,Cirebon,40,ID,1584324728,68,-6.71,108.56,302.99,1.44
187,Road Town,20,VG,1584324729,69,18.42,-64.62,298.15,6.2
188,Aberdeen,0,GB,1584324729,74,57.14,-2.1,276.48,5.1
189,Stettler,100,CA,1584324729,74,52.32,-112.72,259.82,1.34
190,Mandera,22,KE,1584324729,72,3.94,41.87,298.9,2.73
191,Hithadhoo,100,MV,1584324729,62,-0.6,73.08,301.57,2.61
192,Huai'an,100,CN,1584324729,55,33.59,119.02,284.97,4.92
193,Alta Floresta,100,BR,1584324609,98,-9.88,-56.09,294.73,1.38
194,Shimoda,40,JP,1584324729,53,34.67,138.95,284.15,5.1
195,Malinovskiy,0,RU,1584324729,79,61.2,62.84,261.65,2.69
196,Mahébourg,40,MU,1584324729,94,-20.41,57.7,296.48,1.5
197,Puro,3,PH,1584324730,64,12.48,123.38,301.47,2.5
198,Dzaoudzi,35,YT,1584324730,78,-12.79,45.27,301.15,3.1
199,Pringsewu,17,ID,1584324730,69,-5.36,104.97,302.18,2.2
200,Pisco,20,PE,1584324730,83,-13.7,-76.22,296.15,5.7
201,São Filipe,14,CV,1584324730,72,14.9,-24.5,294.6,8.95
202,Jalu,0,LY,1584324563,26,29.03,21.55,291.36,2.88
203,Havelock,90,US,1584324474,76,34.88,-76.9,283.15,7.2
204,Krasnyy Oktyabr',0,RU,1584324730,85,56.12,38.88,267.55,1.86
205,Gornopravdinsk,100,RU,1584324730,89,60.05,69.9,263.34,5.98
206,Moses Lake,1,US,1584324650,44,47.13,-119.28,278.15,2.6
207,Sechura,99,PE,1584324730,77,-5.56,-80.82,298.03,3.39
208,Abu Kamal,89,SY,1584324731,69,34.45,40.92,287.8,1.97
209,Tadine,96,NC,1584324731,66,-21.55,167.88,302.75,4.58
210,Togur,100,RU,1584324731,96,58.36,82.83,274.41,7.93
211,Lebu,0,CL,1584324731,76,-37.62,-73.65,286.64,3.78
212,Shache,0,CN,1584324731,90,38.42,77.24,275.93,2.48
213,Hoskote,40,IN,1584324731,100,13.07,77.8,294.15,2.6
214,Bathsheba,40,BB,1584324731,74,13.22,-59.52,299.15,4.1
215,Liverpool,40,GB,1584324731,81,53.41,-2.98,280.37,5.7
216,Srednekolymsk,10,RU,1584324732,86,67.45,153.68,253.72,1.8
217,Quibor,35,VE,1584324732,44,9.93,-69.62,299.15,5.7
218,Gubkinskiy,100,RU,1584324732,82,64.43,76.5,252.93,8.07
219,Richards Bay,53,ZA,1584324732,79,-28.78,32.04,298.49,11.93
220,Kruisfontein,100,ZA,1584324732,88,-34.0,24.73,288.89,4.48
221,Benjamín Aceval,100,PY,1584324732,53,-24.97,-57.57,301.59,2.66
222,Umluj,0,SA,1584324709,37,25.02,37.27,293.44,4.36
223,Kibala,25,TD,1584324732,13,9.11,18.35,296.16,2.45
224,Pirmasens,15,DE,1584324732,75,49.2,7.61,281.48,2.1
225,Nome,100,US,1584324732,98,64.5,-165.41,272.38,3.47
226,Saint-Leu,100,RE,1584324732,78,-21.15,55.28,299.15,6.7
227,Mbanza-Ngungu,95,CD,1584324733,98,-5.25,14.87,293.86,1.82
228,Ayorou,93,NE,1584324733,12,14.73,0.92,298.85,4.22
229,La Jagua del Pilar,20,CO,1584324733,43,10.51,-73.07,304.15,8.2
230,Kupang,20,ID,1584324733,74,-10.17,123.58,303.15,2.1
231,Kemijärvi,100,FI,1584324733,98,66.71,27.43,273.21,3.87
232,Vila Velha,20,BR,1584324733,88,-20.33,-40.29,298.15,1.5
233,Hanzhong,97,CN,1584324733,58,33.07,107.03,284.81,3.12
234,Seydi,100,TM,1584324733,42,39.48,62.91,289.65,4.93
235,Piaçabuçu,5,BR,1584324733,84,-10.41,-36.43,299.35,3.38
236,Okato,100,NZ,1584324733,68,-39.2,173.88,294.26,2.24
237,Vestmannaeyjar,100,IS,1584324650,93,63.44,-20.27,277.03,23.72
238,Stromness,67,GB,1584324733,80,58.97,-3.3,276.48,1.5
239,Saint-Augustin,99,CA,1584324733,78,51.23,-58.65,260.3,5.88
240,Baoning,90,CN,1584324734,82,25.34,110.03,288.15,2.0
241,Maningrida,0,AU,1584324734,59,-12.07,134.27,302.82,1.53
242,Marathon,40,US,1584324489,68,44.9,-89.77,272.15,2.1
243,Carnarvon,40,AU,1584324734,69,-24.87,113.63,300.15,5.7
244,Kumul,0,CN,1584324614,18,42.8,93.45,281.81,1.38
245,Leshukonskoye,100,RU,1584324531,90,64.9,45.76,265.95,5.98
246,Bulungu,100,CD,1584324734,75,-4.55,18.6,296.53,0.8
247,Suleja,1,NG,1584324734,38,9.18,7.18,298.15,1.5
248,Nhulunbuy,40,AU,1584324734,49,-12.23,136.77,305.15,4.6
249,Bratsk,75,RU,1584324734,85,56.13,101.61,273.15,4.0
250,Olafsvik,100,IS,1584324734,91,64.89,-23.71,273.3,10.55
251,Libreville,40,GA,1584324735,94,0.39,9.45,300.15,1.5
252,San Cristobal,20,VE,1584324506,65,7.77,-72.22,299.15,2.1
253,Marsá Maţrūḩ,0,EG,1584324735,87,31.35,27.25,285.15,2.03
254,Panguna,99,PG,1584324656,79,-6.32,155.48,300.42,1.81
255,Itoman,0,JP,1584324735,40,26.12,127.67,293.71,8.7
256,Guerrero Negro,0,MX,1584324735,72,27.98,-114.06,288.99,6.93
257,Rawlins,1,US,1584324735,41,41.79,-107.24,281.15,2.6
258,Fairbanks,75,US,1584324459,80,64.84,-147.72,272.59,3.6
259,Ithaca,1,US,1584324635,45,42.44,-76.5,271.15,1.75
260,Kutulik,100,RU,1584324735,95,53.35,102.78,272.92,2.43
261,Singaraja,5,ID,1584324736,69,-8.11,115.09,301.8,1.56
262,Kalevala,100,RU,1584324736,98,65.2,31.17,274.64,6.48
263,Baie-Comeau,1,CA,1584324736,47,49.22,-68.15,265.15,3.1
264,Kaeo,100,NZ,1584324736,80,-35.1,173.78,293.15,4.02
265,Quelimane,83,MZ,1584324736,82,-17.88,36.89,297.91,1.31
266,Lagoa,0,PT,1584324736,75,39.05,-27.98,289.13,6.26
267,City of San Pedro,75,PH,1584324736,66,14.35,121.02,302.15,2.6
268,Yangi Marg`ilon,100,UZ,1584324736,31,40.43,71.72,283.15,4.1
269,Yulara,0,AU,1584324736,9,-25.24,130.99,302.15,3.6
270,Neyshabur,97,IR,1584324605,59,36.21,58.8,284.68,2.85
271,Batemans Bay,57,AU,1584324737,65,-35.72,150.18,294.26,0.89
272,Austin,90,US,1584324615,87,30.27,-97.74,290.37,2.1
273,Christchurch,100,NZ,1584324726,45,-43.53,172.63,293.71,9.3
274,Malé,75,MV,1584324737,83,4.17,73.51,301.15,2.6
275,Xylaganí,40,GR,1584324737,80,40.98,25.42,277.59,8.2
276,Jashpurnagar,67,IN,1584324737,56,22.9,84.15,295.0,1.01
277,Sept-Îles,90,CA,1584324737,47,50.2,-66.38,264.15,6.2
278,Pangnirtung,100,CA,1584324737,91,66.15,-65.71,244.49,3.44
279,Meulaboh,100,ID,1584324547,75,4.14,96.13,301.6,2.62
280,Bulgan,94,MN,1584324737,67,48.81,103.53,273.34,2.78
281,Kalnciems,100,LV,1584324737,47,56.8,23.61,275.15,5.7
282,Gao,64,ML,1584324738,12,16.64,1.64,298.4,5.34
283,Baguanos,0,CU,1584324738,78,20.75,-76.03,296.15,4.6
284,Provideniya,90,RU,1584324738,92,64.38,-173.3,269.15,4.0
285,Radenci,0,SI,1584324738,85,46.64,16.04,273.71,1.0
286,Galle,0,LK,1584324738,79,6.04,80.22,301.03,4.16
287,Kenora,90,CA,1584324189,85,49.82,-94.43,269.15,2.6
288,Ahar,19,IR,1584324738,76,38.48,47.07,277.77,2.33
289,São Caetano de Odivelas,100,BR,1584324738,99,-0.75,-48.02,295.93,0.87
290,Bellevue,75,US,1584324698,45,47.61,-122.2,280.37,3.6
291,Valle de Allende,90,MX,1584324739,40,26.93,-105.4,291.89,1.82
292,Ixtapa,20,MX,1584324677,78,20.7,-105.2,297.15,1.5
293,Āsosa,63,ET,1584324739,33,10.07,34.53,293.61,2.75
294,Kavaratti,0,IN,1584324739,68,10.57,72.64,301.26,2.46
295,Port Hardy,5,CA,1584324739,48,50.7,-127.42,279.15,4.1
296,Coquimbo,90,CL,1584324739,87,-29.95,-71.34,289.15,1.5
297,Bengkulu,74,ID,1584324739,58,-3.8,102.27,304.71,0.64
298,Tete,10,MZ,1584324739,83,-16.16,33.59,295.15,1.27
299,Namatanai,91,PG,1584324739,71,-3.67,152.43,302.99,5.99
300,Hualmay,100,PE,1584324739,79,-11.1,-77.61,295.23,1.9
301,Filingué,32,NE,1584324740,12,14.35,3.32,297.18,3.87
302,Concordia,54,AR,1584324740,96,-31.39,-58.02,293.15,4.02
303,Poronaysk,48,RU,1584324740,61,49.22,143.12,266.56,3.08
304,Bealanana,92,MG,1584324740,92,-14.55,48.73,290.77,1.73
305,Ashington,0,GB,1584324740,100,50.93,-0.39,279.82,1.5
306,Baculin,9,PH,1584324740,66,7.45,126.58,300.36,4.21
307,Prestea,65,GH,1584324740,98,5.43,-2.14,297.47,1.51
308,Comodoro Rivadavia,81,AR,1584324502,63,-45.87,-67.5,290.15,1.5
309,Esperance,40,AU,1584324741,73,-33.87,121.9,296.15,3.1
310,Härnösand,0,SE,1584324741,51,62.63,17.94,275.37,6.7
311,Kutum,20,SD,1584324787,28,14.2,24.67,287.11,2.23
312,Hargeisa,57,SO,1584324741,97,9.56,44.06,290.81,3.65
313,Province of Groningen,69,NL,1584324741,87,53.25,6.75,282.04,1.5
314,Paraćin,40,RS,1584324741,58,43.86,21.41,273.15,1.5
315,Düzce,100,TR,1584324741,82,40.84,31.16,276.23,4.56
316,Dinghaicun,1,CN,1584324741,55,26.28,119.79,290.15,2.0
317,Paamiut,0,GL,1584324741,59,61.99,-49.67,253.04,6.85
318,Ovalle,0,CL,1584324681,83,-30.6,-71.2,285.48,0.44
319,Vardø,100,NO,1584324569,57,70.37,31.11,270.07,2.28
320,Diffa,29,NE,1584324741,15,13.32,12.61,290.96,2.68
321,Charters Towers,100,AU,1584324742,36,-20.1,146.27,302.73,4.5
322,Talnakh,75,RU,1584324742,83,69.49,88.4,248.15,5.0
323,Mahibadhoo,5,MV,1584324742,68,3.78,72.97,301.65,2.39
324,Senovo,0,SI,1584324742,86,46.02,15.48,274.82,0.48
325,Kyra,27,RU,1584324742,58,49.58,111.98,273.91,10.41
326,Manokwari,84,ID,1584324742,70,-0.87,134.08,299.71,2.5
327,Matcha,98,RU,1584324742,84,54.63,42.35,268.72,5.03
328,Vanavara,96,RU,1584324742,88,60.34,102.28,272.36,4.89
329,Sosnovoborsk,40,RU,1584324742,80,56.13,93.36,277.15,4.0
330,Hambantota,40,LK,1584324514,100,6.12,81.12,297.15,1.5
331,Bryan,90,US,1584324742,94,30.67,-96.37,297.15,2.6
332,Atambua,99,ID,1584324628,66,-9.11,124.89,301.61,2.55
333,Ribeira Brava,40,PT,1584324743,67,32.65,-17.07,290.15,4.6
334,Panzhihua,0,CN,1584324743,27,26.59,101.71,297.08,0.85
335,Campoverde,75,PE,1584324743,94,-8.48,-74.81,298.15,1.0
336,Puerto Baquerizo Moreno,82,EC,1584324743,80,-0.9,-89.6,299.53,2.55
337,Vidim,92,RU,1584324743,91,56.41,103.11,271.19,3.94
338,Saint-Pierre,13,RE,1584324743,78,-21.34,55.48,299.15,6.7
339,Beni Suef,0,EG,1584324743,56,29.07,31.1,290.15,1.77
340,Te Anau,98,NZ,1584324743,72,-45.42,167.72,282.98,4.03
341,Miraflores,90,MX,1584324743,67,19.22,-98.81,303.15,4.1
342,Baharly,0,TM,1584324743,60,38.44,57.43,287.47,1.12
343,Pyinmana,31,MM,1584324744,27,19.73,96.22,305.62,3.04
344,Clarence Town,75,AU,1584324744,69,-32.58,151.78,296.15,9.3
345,Barstow,1,US,1584324744,38,34.9,-117.02,289.15,8.2
346,Buchanan,90,LR,1584324744,93,5.88,-10.05,298.15,1.13
347,Tiksi,100,RU,1584324744,81,71.69,128.87,260.42,9.2
348,Springfield,90,US,1584324679,80,37.22,-93.3,277.59,3.6
349,Yelizovo,90,RU,1584324610,100,53.19,158.38,274.15,9.0
350,Egvekinot,99,RU,1584324744,96,66.32,-179.17,261.59,1.55
351,Novikovo,49,RU,1584324744,56,51.15,37.89,269.86,4.51
352,Aktau,40,KZ,1584324744,64,43.65,51.2,280.15,5.0
353,Airai,97,TL,1584324745,58,-8.93,125.41,299.97,2.62
354,Khovd,3,MN,1584324594,20,48.01,91.64,275.26,1.66
355,Laguna,90,US,1584324745,71,38.42,-121.42,285.15,3.6
356,Sikandarpur,8,IN,1584324485,39,26.05,84.05,295.87,2.31
357,Santa Maria,75,BR,1584324480,94,-29.68,-53.81,296.15,2.1
358,Stryn,47,NO,1584324745,93,61.9,6.72,274.26,1.94
359,Sorgun,100,TR,1584324745,92,39.81,35.19,271.34,6.75
360,Suez,0,EG,1584324745,63,29.97,32.53,290.66,1.57
361,Santa Vitória do Palmar,99,BR,1584324745,74,-33.52,-53.37,289.73,2.06
362,Garoowe,100,SO,1584324604,73,8.41,48.48,296.08,4.15
363,Sergeevka,25,KZ,1584324745,92,53.88,67.42,271.25,2.17
364,Galveston,1,US,1584324746,83,29.37,-94.97,296.48,2.1
365,Tautira,20,PF,1584324500,62,-17.73,-149.15,304.15,4.6
366,Loíza,20,PR,1584324746,69,18.43,-65.88,297.15,4.6
367,Dumai,1,ID,1584324746,79,1.68,101.45,301.93,2.45
368,Na Wa,46,TH,1584324746,78,17.49,104.1,304.26,2.6
369,Mount Isa,39,AU,1584324746,25,-20.73,139.5,305.15,3.1
370,Puerto Nariño,33,CO,1584324746,100,-3.77,-70.38,299.15,0.62
371,Champerico,23,GT,1584324599,78,14.3,-91.92,298.9,2.0
372,Kahului,40,US,1584324477,61,20.89,-156.47,301.15,5.7
