City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bodeşti,0,RO,1584564017,64,47.03,26.42,41.0,2.24
Tacuarembó,98,UY,1584564018,79,-31.73,-55.98,76.46,6.06
Half Moon Bay,90,US,1584563947,87,37.46,-122.43,55.99,8.05
Puerto del Rosario,20,ES,1584564018,59,28.5,-13.86,64.4,21.92
Northam,75,GB,1584564018,87,51.03,-4.22,53.6,8.05
Krasnogvardeyskoye,88,RU,1584564018,68,45.85,41.52,39.02,10.13
Pangnirtung,90,CA,1584564018,56,66.15,-65.71,12.2,10.29
Thompson,75,CA,1584564018,39,55.74,-97.86,10.4,4.7
Banda Aceh,89,ID,1584564018,87,5.56,95.32,72.5,3.04
Bar Harbor,1,US,1584564018,33,44.39,-68.2,45.0,8.05
Ilulissat,40,GL,1584564018,34,69.22,-51.1,17.6,16.11
Leningradskiy,100,RU,1584564019,94,69.38,178.42,5.36,5.55
Te Anau,93,NZ,1584564019,85,-45.42,167.72,51.8,10.13
Avarua,100,CK,1584564019,83,-21.21,-159.78,84.2,14.99
Guerrero Negro,59,MX,1584563743,44,27.98,-114.06,66.2,25.21
Barcelos,0,PT,1584564019,77,41.54,-8.62,66.0,3.49
Olafsvik,66,IS,1584564019,60,64.89,-23.71,25.88,6.85
Platteville,90,US,1584564019,86,42.73,-90.48,43.0,9.17
Pemangkat,100,ID,1584564019,90,1.17,108.97,76.46,5.03
Pilar,75,BR,1584564019,88,-9.6,-35.96,80.6,4.7
Airai,31,TL,1584564019,87,-8.93,125.41,64.4,3.6
Usinsk,100,RU,1584564019,96,65.99,57.53,23.0,8.37
Labis,100,MY,1584564019,96,2.38,103.02,71.24,3.42
Fairview,1,US,1584564020,46,40.81,-74.0,55.99,10.29
Avera,90,US,1584564020,69,33.19,-82.53,80.6,5.82
Bacolod City,28,PH,1584564020,77,10.67,122.95,72.5,4.36
Mayumba,100,GA,1584564020,84,-3.43,10.66,82.76,9.84
Flinders,41,AU,1584564020,55,-34.58,150.86,66.2,11.41
Meulaboh,100,ID,1584564020,76,4.14,96.13,82.58,9.28
Cabo San Lucas,75,MX,1584564020,69,22.89,-109.91,84.0,12.75
Maxixe,2,MZ,1584564020,68,-23.86,35.35,76.28,11.1
Gouyave,20,GD,1584564020,66,12.16,-61.73,84.2,13.87
Talnakh,75,RU,1584564020,92,69.49,88.4,6.8,17.9
Carmarthen,100,GB,1584564020,87,51.86,-4.31,46.0,12.75
Ixtapa,5,MX,1584564020,74,20.7,-105.2,80.6,13.87
Roald,75,NO,1584564021,75,62.58,6.13,41.0,13.87
Vila Franca do Campo,20,PT,1584563924,82,37.72,-25.43,62.6,12.75
Hasaki,20,JP,1584563944,100,35.73,140.83,37.4,1.12
City of San Pedro,20,PH,1584564021,73,14.35,121.02,77.0,3.36
Neftçala,100,AZ,1584564021,91,39.37,49.25,45.5,14.18
Cockburn Town,0,TC,1584564021,76,21.46,-71.14,76.1,18.52
Farah,39,AF,1584564021,41,32.5,62.5,65.48,2.57
Keshorai Pātan,93,IN,1584564021,28,25.3,75.93,70.34,2.77
Huanren,100,CN,1584564021,98,41.26,125.37,31.82,7.23
Lac du Bonnet,95,CA,1584564021,61,50.25,-96.06,15.01,4.0
Hirara,100,JP,1584563945,79,24.8,125.28,72.5,14.74
Katsuura,7,JP,1584564022,61,35.13,140.3,50.0,4.7
Yumen,100,CN,1584564022,25,40.28,97.2,39.74,11.72
Boa Vista,75,BR,1584564022,34,2.82,-60.67,96.8,16.11
Sola,66,VU,1584564022,75,-13.88,167.55,83.3,6.8
Kenai,20,US,1584564022,86,60.55,-151.26,33.8,4.65
Constitución,31,CL,1584564022,71,-35.33,-72.42,62.78,12.33
Broken Hill,0,AU,1584564022,37,-31.95,141.43,69.8,6.93
Ayagoz,87,KZ,1584564022,73,47.97,80.44,21.92,7.36
Laguna,90,US,1584564022,71,38.42,-121.42,59.0,3.65
Örnsköldsvik,9,SE,1584563878,63,63.29,18.72,30.2,1.12
Faya,40,SA,1584564023,93,18.39,42.45,60.8,12.75
Bismarck,90,US,1584563781,100,46.81,-100.78,33.8,8.05
Amahai,54,ID,1584564023,75,-3.33,128.92,81.86,6.22
Barabinsk,100,RU,1584564023,96,55.36,78.36,21.92,7.67
Peniche,0,PT,1584564023,63,39.36,-9.38,68.0,4.7
Tacoronte,75,ES,1584564023,87,28.48,-16.41,64.99,27.51
Holly Hill,40,US,1584564023,45,29.24,-81.04,88.0,8.05
Channel-Port aux Basques,0,CA,1584563740,72,47.57,-59.14,28.76,26.69
Ankazoabo,0,MG,1584564023,70,-22.28,44.52,66.38,6.58
Uglekamensk,100,RU,1584564024,96,43.22,133.23,33.26,1.63
Menongue,100,AO,1584564024,98,-14.66,17.69,63.86,3.89
Kirkland Lake,20,CA,1584563781,47,48.14,-80.04,35.6,16.11
Oeiras do Pará,92,BR,1584564024,85,-2.0,-49.85,81.32,4.12
Muli,0,MV,1584564024,73,2.92,73.57,84.2,8.93
Yangi Marg`ilon,86,UZ,1584564024,58,40.43,71.72,57.2,4.7
Roebourne,82,AU,1584563747,37,-20.78,117.13,86.72,3.29
Mezen',99,RU,1584564024,95,65.85,44.24,31.28,10.09
Vágur,6,FO,1584564024,83,61.47,-6.81,40.64,12.26
Iquique,0,CL,1584564003,53,-20.22,-70.14,77.0,20.8
Shangrao,96,CN,1584564024,86,28.45,117.97,56.84,0.78
Taoudenni,100,ML,1584564025,14,22.68,-3.98,79.34,9.28
Nagato,20,JP,1584564025,93,34.38,131.2,51.8,4.7
Tuatapere,96,NZ,1584564025,64,-46.13,167.68,60.01,8.99
Yerbogachën,100,RU,1584563958,86,61.28,108.01,19.58,15.14
Bilma,0,NE,1584564025,8,18.69,12.92,77.18,7.45
Kandi,79,BJ,1584564025,18,11.13,2.94,87.8,4.81
Hervey Bay,9,AU,1584564025,93,-25.3,152.85,69.01,5.82
Siemiatycze,100,PL,1584564025,70,52.43,22.86,46.0,9.66
Ayamé,100,CI,1584564025,92,5.61,-3.16,78.08,5.68
Liuzhou,99,CN,1584564025,96,24.31,109.39,60.08,4.7
Balikpapan,96,ID,1584564025,81,-1.27,116.83,81.68,13.47
Shaunavon,100,CA,1584564026,91,49.65,-108.42,14.18,7.29
Huty,0,UA,1584564026,54,50.13,35.34,39.56,5.53
Saint-Joseph,2,RE,1584564026,73,-21.37,55.62,77.0,8.05
Roura,90,GF,1584564026,69,4.73,-52.33,82.4,13.87
Balud,20,PH,1584564026,83,10.15,123.7,78.8,8.05
Ostrovnoy,96,RU,1584564026,98,68.05,39.51,22.82,4.05
Nanortalik,100,GL,1584564026,96,60.14,-45.24,29.12,24.4
Kaputa,99,ZM,1584564026,95,-8.47,29.66,62.42,1.68
Koshurnikovo,100,RU,1584564026,92,54.17,93.3,22.46,4.25
Springdale,90,US,1584563800,83,36.19,-94.13,72.0,16.11
Mount Isa,0,AU,1584564026,40,-20.73,139.5,71.6,5.82
Puerto Escondido,40,MX,1584564026,79,15.85,-97.07,86.0,10.29
Sørland,40,NO,1584564027,86,67.67,12.69,33.8,18.34
Tadine,22,NC,1584564027,76,-21.55,167.88,76.82,16.42
Upernavik,36,GL,1584564027,61,72.79,-56.15,-1.12,5.08
Ketchikan,1,US,1584564027,70,55.34,-131.65,42.8,17.22
Tsimmerbude,90,RU,1584564027,93,54.67,20.13,48.2,20.13
Sierpc,100,PL,1584564027,74,52.86,19.67,50.36,8.79
Tabuk,0,PH,1584564027,90,17.42,121.44,67.1,5.68
Yeppoon,1,AU,1584564027,77,-23.13,150.73,68.0,5.82
Neuquén,0,AR,1584564027,39,-38.95,-68.06,78.8,1.3
Vitim,100,RU,1584564027,94,59.45,112.56,22.1,13.24
Fairbanks,90,US,1584563979,94,64.84,-147.72,35.01,8.05
Porto-Novo,20,BJ,1584564028,83,6.5,2.6,84.2,13.87
Baharly,68,TM,1584564028,53,38.44,57.43,64.04,8.81
Bow Island,75,CA,1584564028,67,49.87,-111.37,24.01,6.93
Port-Gentil,20,GA,1584564028,88,-0.72,8.78,82.4,8.05
Saint Anthony,90,US,1584564028,80,45.02,-93.22,46.0,5.82
Kaitangata,71,NZ,1584564028,72,-46.28,169.85,55.99,1.99
Verkh-Usugli,0,RU,1584564028,82,52.7,115.17,16.16,2.98
Kirakira,92,SB,1584564028,81,-10.45,161.92,79.7,2.8
Zhytomyr,22,UA,1584564028,69,50.26,28.68,42.26,8.34
Makakilo City,75,US,1584564028,74,21.35,-158.09,80.6,4.7
Yaan,0,NG,1584564029,28,7.38,8.57,90.68,2.66
Tasiilaq,20,GL,1584564029,56,65.61,-37.64,12.2,3.36
Dikson,100,RU,1584564029,99,73.51,80.55,-8.5,8.97
Semnan,100,IR,1584564029,50,35.57,53.4,60.98,3.56
Nouadhibou,0,MR,1584564029,63,20.93,-17.03,66.2,16.11
Rio Grande,75,BR,1584564029,83,-32.03,-52.1,78.8,17.22
Mogzon,54,RU,1584564029,71,51.74,111.96,12.74,3.83
Itarema,97,BR,1584564029,87,-2.92,-39.92,78.8,4.94
Inhambane,2,MZ,1584564029,68,-23.86,35.38,76.28,11.1
Ayan,100,RU,1584564029,76,56.45,138.17,12.2,7.47
Haines Junction,99,CA,1584564029,91,60.75,-137.51,24.26,6.15
Nemuro,4,JP,1584564029,82,43.32,145.57,33.98,11.65
Granada,20,ES,1584564030,47,37.19,-3.61,60.01,10.29
Tombouctou,18,ML,1584564030,12,20.0,-3.0,76.46,3.62
Hays,75,US,1584564030,69,30.05,-98.03,84.2,13.87
Pangkalanbuun,100,ID,1584564030,97,-2.68,111.62,73.22,1.21
Pisco,20,PE,1584563818,30,-13.7,-76.22,77.0,11.41
Fort Nelson,75,CA,1584564030,46,58.81,-122.7,28.4,8.05
Goundam,92,ML,1584563767,13,16.41,-3.67,88.7,5.35
Aksu,56,CN,1584564030,30,41.12,80.26,45.86,1.1
Ariquemes,100,BR,1584564030,92,-9.91,-63.04,80.24,3.58
Puerto Colombia,20,CO,1584564031,62,10.99,-74.95,84.2,23.04
Uvat,84,RU,1584564031,91,59.14,68.9,27.5,11.5
Polunochnoye,0,RU,1584564031,89,60.87,60.42,26.6,5.03
Manturovo,100,RU,1584564031,97,58.34,44.76,36.86,9.66
Kavieng,70,PG,1584564031,75,-2.57,150.8,81.68,5.44
Rock Springs,75,US,1584564031,64,41.59,-109.2,37.4,25.28
Hofn,100,IS,1584564031,75,64.25,-15.21,35.42,34.4
Son La,4,VN,1584563741,89,21.32,103.9,66.92,0.38
La Ronge,40,CA,1584564031,39,55.1,-105.28,8.6,5.82
Borger,90,NL,1584564031,93,52.92,6.79,52.0,8.05
Boksitogorsk,100,RU,1584564032,91,59.47,33.85,41.9,12.62
Unaí,0,BR,1584564032,74,-16.36,-46.91,75.38,3.67
Ola,100,RU,1584564032,72,59.58,151.28,-0.4,5.7
Gunjur,0,GM,1584564032,72,13.2,-16.73,69.62,10.36
Maningrida,96,AU,1584564032,80,-12.07,134.27,79.88,14.81
Batticaloa,80,LK,1584563995,95,7.71,81.69,74.84,0.27
Chulym,100,RU,1584564032,96,55.1,80.96,23.18,7.07
Katima Mulilo,100,NA,1584564032,100,-17.5,24.27,71.6,1.12
Ucluelet,40,CA,1584564032,76,48.93,-125.55,55.0,8.05
Dunedin,71,NZ,1584564032,72,-45.87,170.5,59.0,1.99
Madison,75,US,1584564033,60,34.73,-86.57,77.0,16.11
Catalão,14,BR,1584564033,81,-18.17,-47.95,76.64,3.96
Yulara,0,AU,1584564033,29,-25.24,130.99,77.0,6.93
Poya,0,NC,1584564033,71,-21.35,165.15,77.18,12.3
Chekhov,84,RU,1584564033,52,55.14,37.47,46.4,13.42
Rodolfo Sánchez Taboada,100,MX,1584564033,82,31.72,-116.57,55.99,7.0
Shunyi,0,CN,1584564033,15,40.12,116.65,50.0,20.13
Isiro,100,CD,1584564033,73,2.77,27.62,70.52,2.06
Mirador,100,BR,1584564033,91,-6.37,-44.36,77.54,4.65
Port Lincoln,50,AU,1584563764,53,-34.73,135.87,70.7,5.97
Labuhan,97,ID,1584564033,93,-6.88,112.21,74.66,2.01
Arlit,0,NE,1584564033,7,18.74,7.39,82.94,11.88
Huilong,16,CN,1584564034,78,31.81,121.66,62.01,9.91
Salalah,20,OM,1584564034,73,17.02,54.09,77.0,4.7
Lavumisa,0,SZ,1584564034,73,-27.31,31.89,75.2,2.24
Padang,93,ID,1584564034,98,-0.95,100.35,68.0,1.1
Ust'-Kut,99,RU,1584564034,95,56.79,105.77,21.74,8.05
Bac Lieu,77,VN,1584564034,83,9.29,105.72,76.82,4.16
Korisos,3,GR,1584564034,65,40.5,21.38,41.0,2.24
Cariati,0,IT,1584564034,84,39.49,16.96,46.0,11.61
Valley City,90,US,1584564034,100,46.92,-98.0,28.4,8.05
Manakara,100,MG,1584564034,94,-22.13,48.02,71.6,5.82
Kurumkan,100,RU,1584564034,76,54.3,110.3,6.8,2.28
Cabra,8,ES,1584564035,48,37.47,-4.44,66.2,8.05
Narsaq,75,GL,1584564035,68,60.92,-46.05,28.4,5.82
Orlik,52,RU,1584564035,76,52.52,99.83,7.52,6.85
Koudougou,15,BF,1584564035,37,12.25,-2.37,88.16,6.71
Arkhangelsk,40,RU,1584564035,96,64.54,40.54,35.6,6.71
Takoradze,73,GH,1584564035,84,4.88,-1.76,80.78,7.27
Megion,100,RU,1584564035,79,61.03,76.11,21.2,11.18
Marsh Harbour,100,BS,1584564035,77,26.54,-77.06,75.02,12.84
Chifeng,0,CN,1584564035,46,42.27,118.96,27.5,21.9
Newark,1,US,1584563832,46,40.74,-74.17,57.0,10.29
Wuda,0,CN,1584564035,37,39.5,106.71,36.14,3.74
Schattdorf,0,CH,1584564036,71,46.87,8.65,53.01,3.36
Villablino,0,ES,1584564036,87,42.94,-6.32,52.0,4.7
Maniitsoq,100,GL,1584564036,65,65.42,-52.9,28.76,19.71
Dingle,42,PH,1584564036,84,11.0,122.67,74.3,10.07
Visby,100,SE,1584564036,75,57.64,18.3,44.01,12.75
Clyde River,90,CA,1584564036,83,70.47,-68.59,-4.0,39.15
Tambo,99,PE,1584564036,96,-14.8,-73.92,49.1,11.9
Partizansk,100,RU,1584564036,96,43.13,133.13,33.26,1.63
Acquaviva delle Fonti,0,IT,1584564036,87,40.9,16.84,57.99,4.7
Ponta do Sol,75,PT,1584564036,72,32.67,-17.1,62.6,21.92
Harbour Breton,0,CA,1584564037,64,47.48,-55.8,31.82,28.43
Yantongshan,100,CN,1584564037,99,43.29,126.01,32.72,2.73
Bonavista,61,CA,1584564037,69,48.65,-53.11,32.9,16.89
Celano,0,IT,1584564037,81,42.09,13.54,54.0,5.82
Hamilton,90,US,1584564037,100,39.18,-84.53,54.0,3.36
Kozhva,100,RU,1584564037,97,65.11,57.05,26.42,4.61
Nelson Bay,0,AU,1584564037,93,-32.72,152.15,63.0,4.7
Vanimo,79,PG,1584564037,72,-2.67,141.3,82.76,4.97
Shimanovsk,6,RU,1584564037,95,52.0,127.7,14.72,5.91
Itoman,75,JP,1584564037,83,26.12,127.67,71.6,16.11
Nichinan,79,JP,1584564037,81,31.6,131.37,60.62,7.94
Ust'-Kulom,100,RU,1584564038,94,61.69,53.69,32.54,9.82
Mendi,94,PG,1584564038,97,-6.18,143.65,54.68,2.21
Mackay,75,AU,1584564038,94,-21.15,149.2,72.0,11.41
Loíza,75,PR,1584564038,74,18.43,-65.88,82.0,17.22
Vankleek Hill,75,CA,1584564038,37,45.52,-74.65,39.0,3.36
Seoul,40,KR,1584563947,81,37.57,126.98,53.6,8.05
Key West,40,US,1584564034,61,24.56,-81.78,82.4,14.99
